index,image,PSNR,SSIM,LPIPS
0,00000.png,8.586937380234472,0.9722518018968574,0.03359366953372955
1,00001.png,8.629549823471812,0.9723544290465662,0.033493466675281525
2,00002.png,8.713659278505796,0.9727572009236833,0.03356950730085373
3,00003.png,8.782889236365508,0.9731126081491158,0.0331624373793602
4,00004.png,8.797786118432917,0.9731821981034369,0.03349588066339493
5,00005.png,8.865760282497334,0.973470986081442,0.033477846533060074
6,00006.png,8.896759089662282,0.9736626716852671,0.03356783464550972
7,00007.png,8.918106194397897,0.9737236550078977,0.03338072821497917
8,00008.png,8.929757690131181,0.973803221324183,0.03359837457537651
9,00009.png,8.920982039406866,0.9737936198940341,0.03329288959503174
10,00010.png,8.924543514241037,0.9737274920543469,0.032766520977020264
11,00011.png,8.903441357003096,0.973688742665319,0.03258749842643738
12,00012.png,8.899126872629319,0.9737000487702822,0.03233819082379341
13,00013.png,8.822961336826383,0.9733714775093475,0.03218745067715645
14,00014.png,8.787475119856712,0.9731732093887143,0.03244046866893768
15,00015.png,8.730623089120577,0.9729586658731783,0.03256690874695778
16,00016.png,8.709541435171223,0.9729128817587653,0.03247825801372528
17,00017.png,8.607609783598832,0.9724256733418013,0.03339157998561859
18,00018.png,8.532825781065384,0.9721729544602062,0.03344142064452171
19,00019.png,8.467609679295826,0.9719053630066623,0.03319165110588074
20,00020.png,8.405310039657518,0.97157635733038,0.03315805271267891
21,00021.png,8.346182457678509,0.9713394605570017,0.0333896204829216
22,00022.png,8.318701357543985,0.9711562326054528,0.03325548768043518
23,00023.png,8.277240366030542,0.970940331585637,0.033839449286460876
24,00024.png,8.257514092383243,0.9707877401298561,0.03377973660826683
25,00025.png,8.239534078369191,0.9706048010148187,0.03348398953676224
26,00026.png,8.196470395103672,0.9703797793923927,0.03351544216275215
27,00027.png,8.148316687858754,0.9701680014026417,0.033733222633600235
28,00028.png,8.110101631830622,0.9698998415241761,0.034614115953445435
29,00029.png,8.078367219737085,0.9696492080904598,0.03427283838391304
30,00030.png,8.051561645545814,0.9695386924588847,0.034851521253585815
31,00031.png,8.030926258341665,0.9693967177920435,0.035029150545597076
32,00032.png,8.028450316649234,0.9693064574486204,0.03495710715651512
33,00033.png,8.101327935773435,0.9693088655993207,0.03460686281323433
34,00034.png,8.0809681261547,0.9689225537638455,0.034937456250190735
35,00035.png,8.051008753233116,0.9687554837759343,0.034368764609098434
36,00036.png,8.047105363150544,0.9689042501314139,0.03426111117005348
37,00037.png,8.077976624008523,0.9689827370338338,0.03478994220495224
38,00038.png,8.05039943050067,0.9689127769530963,0.03494955226778984
39,00039.png,8.018289974331704,0.9687936440559233,0.03522119298577309
40,00040.png,8.015598555720082,0.9687769487851271,0.03502655401825905
41,00041.png,7.9927984799383935,0.9686958461107493,0.03511615842580795
42,00042.png,8.003229413300655,0.9687926901009921,0.03492031991481781
43,00043.png,8.029974443808145,0.9690965511010925,0.03495217114686966
44,00044.png,8.064550288446089,0.9692874873765568,0.034722886979579926
45,00045.png,8.042650053893276,0.9690148018502436,0.035390108823776245
46,00046.png,8.062185717864281,0.9690928451349674,0.03536561504006386
47,00047.png,8.082720290131215,0.9692008665758812,0.03517862409353256
48,00048.png,8.099976128919469,0.969421902090978,0.035094015300273895
49,00049.png,8.106336143026386,0.9695569806622074,0.03537329286336899
50,00050.png,8.141272319174618,0.9697012118624514,0.035189349204301834
51,00051.png,8.220158956877645,0.9701512135152598,0.034830302000045776
52,00052.png,8.2621738601497,0.9703872487794825,0.03445758670568466
53,00053.png,8.297478988638723,0.970640158021074,0.034039728343486786
54,00054.png,8.350884612951608,0.9708931694684706,0.03372453898191452
55,00055.png,8.383856158470028,0.9710217346602723,0.0338614359498024
56,00056.png,8.351049098561322,0.9717016656757598,0.03220700845122337
57,00057.png,8.400754019781909,0.9718894411427779,0.03180534020066261
58,00058.png,8.447402811606043,0.9720925107044857,0.03175942227244377
59,00059.png,8.541212849262976,0.9720849764693346,0.03354371339082718
60,00060.png,9.045277511786972,0.9730050931334672,0.033633481711149216
61,00061.png,9.173892350346438,0.9734774037530733,0.03400598466396332
62,00062.png,9.293649746152013,0.9740828056150515,0.03375798463821411
63,00063.png,9.43496182736643,0.9747018176347119,0.03344075754284859
64,00064.png,9.534503045944852,0.9751050890375451,0.03277650848031044
65,00065.png,9.671798092512553,0.9755458349404003,0.03225273638963699
66,00066.png,9.762587061659975,0.9758257312722127,0.03262103721499443
67,00067.png,9.860175731031822,0.9762356343817064,0.03215081989765167
68,00068.png,9.836355801241485,0.9762705326041078,0.03244582936167717
69,00069.png,9.908033601760327,0.9764555762012093,0.03148752450942993
70,00070.png,9.865383529237066,0.9763882984615777,0.03124956786632538
71,00071.png,9.798917734467022,0.9762109080777632,0.030713697895407677
72,00072.png,9.80362292352869,0.9763026814664556,0.03123517520725727
73,00073.png,9.67057716604829,0.9759927554785051,0.03057042695581913
74,00074.png,9.521011060772102,0.975548022927403,0.03112519159913063
75,00075.png,9.420877702261357,0.975193937012081,0.03133154660463333
76,00076.png,9.377591353466926,0.9751286706864472,0.031056765466928482
77,00077.png,9.282748496214051,0.9747405176479178,0.03126711770892143
78,00078.png,9.107408646686553,0.974109354872834,0.03181072697043419
79,00079.png,8.929694482464706,0.9735073445411875,0.03226560726761818
80,00080.png,8.771166873222342,0.97297510897192,0.03197304159402847
81,00081.png,7.944823013526402,0.9820197293847808,0.022809449583292007
